school id,deliveries,Dr number,date
117200,C1 LOT 6  KS2 G4toG6 ,13454,
117201,C1 LOT 6  KS2 G4toG6 ,13455,
117204,C1 LOT 6  KS2 G4toG6 ,13456,
117205,C1 LOT 6  KS2 G4toG6 ,13457,
117207,C1 LOT 6  KS2 G4toG6 ,13458,
117210,C1 LOT 6  KS2 G4toG6 ,13459,
117214,C1 LOT 6  KS2 G4toG6 ,13460,
117219,C1 LOT 6  KS2 G4toG6 ,13461,
117224,C1 LOT 6  KS2 G4toG6 ,13462,
117228,C1 LOT 6  KS2 G4toG6 ,13463,
117230,C1 LOT 6  KS2 G4toG6 ,13464,
117231,C1 LOT 6  KS2 G4toG6 ,13465,
117234,C1 LOT 6  KS2 G4toG6 ,13466,
117235,C1 LOT 6  KS2 G4toG6 ,13467,
117238,C1 LOT 6  KS2 G4toG6 ,13468,
117243,C1 LOT 6  KS2 G4toG6 ,13469,
117245,C1 LOT 6  KS2 G4toG6 ,13470,
117247,C1 LOT 6  KS2 G4toG6 ,13471,
117249,C1 LOT 6  KS2 G4toG6 ,13472,
117254,C1 LOT 6  KS2 G4toG6 ,13473,
117256,C1 LOT 6  KS2 G4toG6 ,13474,
117259,C1 LOT 6  KS2 G4toG6 ,13475,
117261,C1 LOT 6  KS2 G4toG6 ,13476,
117270,C1 LOT 6  KS2 G4toG6 ,13477,
117272,C1 LOT 6  KS2 G4toG6 ,13478,
117274,C1 LOT 6  KS2 G4toG6 ,13479,
